puzzle_id,side_to_move,total_moves,agreed_moves,agreement_rate,first_move_agrees,all_moves_agree,sf_moves,pv_moves,move_by_move
01ySE,White,4,3,0.75,False,False,"['h4', 'Qxf6+', 'Kxf6']","['g6f6', 'c6f6', 'g7f6']","[('g6f6', 'h4', False), ('c6f6', 'Qxf6+', True), ('g7f6', 'Kxf6', True), ('a5a4', 'a4', True)]"
024qN,White,4,3,0.75,False,False,"['Ng3', 'Qxg4', 'hxg4']","['c1h6', 'f5g4', 'h3g4']","[('c1h6', 'Ng3', False), ('f5g4', 'Qxg4', True), ('h3g4', 'hxg4', True), ('g7h6', 'gxh6', True)]"
02M26,Black,4,3,0.75,False,False,"['Kf7', 'Rxf8+', 'Kxf8']","['f6f8', 'e8f8', 'g8f8']","[('f6f8', 'Kf7', False), ('e8f8', 'Rxf8+', True), ('g8f8', 'Kxf8', True), ('d3f5', 'Bxf5', True)]"
02YNo,Black,4,3,0.75,False,False,"['Kf8', 'Bh7+', 'Kxh7']","['b6b2', 'c2h7', 'g8h7']","[('b6b2', 'Kf8', False), ('c2h7', 'Bh7+', True), ('g8h7', 'Kxh7', True), ('e2b2', 'Qxb2', True)]"
02j28,Black,4,3,0.75,False,False,"['Qg5', 'Qxd7+', 'Kxd7']","['h6f6', 'f5d7', 'e7d7']","[('h6f6', 'Qg5', False), ('f5d7', 'Qxd7+', True), ('e7d7', 'Kxd7', True), ('f3f6', 'Rxf6', True)]"
02sUm,Black,4,3,0.75,False,False,"['Qg5', 'Bh7+', 'Kxh7']","['e8d8', 'd3h7', 'g8h7']","[('e8d8', 'Qg5', False), ('d3h7', 'Bh7+', True), ('g8h7', 'Kxh7', True), ('d4d2', 'Qxd2', True)]"
037lM,Black,4,3,0.75,False,False,"['Bg5', 'Rg8+', 'Rxg8']","['c3e4', 'g2g8', 'f8g8']","[('c3e4', 'Bg5', False), ('g2g8', 'Rg8+', True), ('f8g8', 'Rxg8', True), ('h6f7', 'Nxf7#', True)]"
03R4H,Black,4,3,0.75,False,False,"['h6', 'Qxd8+', 'Bxd8']","['c2d2', 'b6d8', 'f6d8']","[('c2d2', 'h6', False), ('b6d8', 'Qxd8+', True), ('f6d8', 'Bxd8', True), ('e1e8', 'Re8#', True)]"
03UTN,Black,4,3,0.75,False,False,"['Qe6', 'Rd8+', 'Rxd8']","['c6b7', 'd5d8', 'c8d8']","[('c6b7', 'Qe6', False), ('d5d8', 'Rd8+', True), ('c8d8', 'Rxd8', True), ('f3b7', 'Qxb7', True)]"
03Vlf,White,4,3,0.75,False,False,"['Bc3', 'Bxh2+', 'Kxh2']","['d4e6', 'd6h2', 'g1h2']","[('d4e6', 'Bc3', False), ('d6h2', 'Bxh2+', True), ('g1h2', 'Kxh2', True), ('d7d3', 'Qxd3', True)]"
03cXe,Black,4,3,0.75,False,False,"['Qd2', 'Bxh7+', 'Kxh7']","['a2a3', 'd3h7', 'g8h7']","[('a2a3', 'Qd2', False), ('d3h7', 'Bxh7+', True), ('g8h7', 'Kxh7', True), ('f3a3', 'Qxa3', True)]"
03cY6,White,4,3,0.75,False,False,"['Qf5', 'Bh2+', 'Kxh2']","['c3e2', 'd6h2', 'g1h2']","[('c3e2', 'Qf5', False), ('d6h2', 'Bh2+', True), ('g1h2', 'Kxh2', True), ('c6e6', 'Qxe6', True)]"
03iZt,Black,4,3,0.75,False,False,"['Be3+', 'Rh8+', 'Kxh8']","['d8f6', 'h7h8', 'g8h8']","[('d8f6', 'Be3+', False), ('h7h8', 'Rh8+', True), ('g8h8', 'Kxh8', True), ('g6h7', 'Qh7#', True)]"
03sFl,Black,4,3,0.75,False,False,"['Qc7', 'Bxh7+', 'Kxh7']","['c2d2', 'd3h7', 'g8h7']","[('c2d2', 'Qc7', False), ('d3h7', 'Bxh7+', True), ('g8h7', 'Kxh7', True), ('d4d2', 'Qxd2', True)]"
03wxG,White,4,3,0.75,False,False,"['Nxd2', 'Be4+', 'Rxe4']","['c1d2', 'f5e4', 'e1e4']","[('c1d2', 'Nxd2', False), ('f5e4', 'Be4+', True), ('e1e4', 'Rxe4', True), ('f2f1', 'Qf1#', True)]"
